bersin -bersin,hidung berair,hidung tersumbat;rintis alergi;0.3891532403929098
demam,gangguan pendengaran,nyeri bagian telinga;otitis media akut;0.5321397865776565
bersin -bersin,debu),dipengaruhi oleh makanan / keadaan tertentu (dingin,hidung berair,hidung gatal,hidung tersumbat,mata bengkak,mata berair,mata gatal;rintis alergi;0.5257638480385726
batuk,bersin -bersin,demam,hidung berair,hidung tersumbat,kelelahan,paru-paru terhambat,sakit tenggorokan,tubuh terasa sakit;infeksi saluran nafas akut;0.657114654510669
bersin -bersin,mata berair;rintis alergi;0.35
kelelahan,mual,muntah,nyeri dada kiri luas dan tiba-tiba,pusing,riwayat kolesterol tinggi / kencing manis,sesak napas;penyakit jantung koroner;0.6663189336204829
demam,nyeri kepala;varisela / cacar air;0.36734693877551017
gejala muncul pada malam hari,hidung tersumbat,mata merah,nyeri belakang salah satu mata,nyeri tiba-tiba dalam durasi detik,salah satu mata berair;cluster type headache;0.5895974515689593
adanya tekanan atau stress,kepala seperti diikat di seluruh bagian,leher dan pundak kaku,sakit kepala berlangsung selama berjam-jam;tension type headache;0.6848636831275721
mata berair,sensitif terhadap cahaya;keratitis akut;0.38752362948960306
kelelahan,mual,muntah,pusing;hepatitis A;0.35317372953912096
detak jantung tak teratur,lemas,sesak napas;anemia;0.35
bintik merah dan tidak gatal pada kulit,demam tinggi,demam turun pada hari keempat tanpa obat,lemas,mual,muntah,nyeri otot,nyeri untuk melirik,sakit kepala;demam berdarah dengue;0.6562217780008425
kehilangan nafsu makan,kelelahan,pusing;anemia;0.35
kehilangan nafsu makan,mual,muntah,nyeri kepala,pusing;hepatitis A;0.4049198311759913
lemas,penglihatan kabur;hipertensi;0.35
bisul berisi air,demam,kulit gatal,lemas,nyeri kepala;varisela / cacar air;0.6798000832986255
batuk,demam,kesulitan menelan,sakit tenggorokan,suara serak;faringitis;0.6742098199824148
mual,muntah,pusing;hepatitis A;0.35
ibu jari,kemampuan tangan atau jari berkurang,kesemutan,kurang sensitif terhadap sentuhan,membaik dengan mengibaskan tangan,nyeri telapak tangan;sindrom terowongan karpal;0.5757242117146337
diare,sembelit;irritable bowel syndrome;0.35
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin -bersin,demam tinggi,kehilangan nafsu makan,kelelahan,mata berair,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga,sensitif terhadap cahaya;campak;0.6581696863429438
demam,sakit kepala;varisela / cacar air;0.35
berhenti dengan menekan cuping hidung,demam,hidung nyeri,keluar darah dari lubang hidung;epistaksis/mimisan;0.6963765097875886
demam,gangguan pendengaran,nyeri bagian telinga,rasa penuh di bagian dalam telinga,riwayat pilek sebelumnya,tidak bisa tidur / insomnia;otitis media efusi;0.6725076101773926
demam,gangguan pendengaran,keluar cairan selain bening,nyeri bagian telinga;otitis media akut;0.5921218652215466
batuk,demam,hidung tersumbat,keluar lendir dari hidung,nyeri wajah,tercium bau tidak sedap jika menunduk,tidak bisa atau kurang bisa mencium bau;rinosinusitis;0.6235036655531534
mual,muntah;maag;0.35
mata berair,mata merah;konjungtivitis/mata merah;0.3537101114955787
kehilangan nafsu makan,kram perut;diare akut;0.35
kencing lebih sering pada malam hari,kesemutan,lemas,mudah haus,mudah lapar,penglihatan kabur,penurunan berat badan;diabetes melitus;0.6635170504340696
berkeringat dingin,mual,pusing berputar dipengaruhi posisi kepala,sensasi merasa akan terjatuh,telinga berdenging,telinga terasa penuh;vertigo;0.6657550600458813
adanya tekanan atau stress,diare,kembung,kram perut,sakit perut,sembelit,sembelit terjadi berulang-ulang;irritable bowel syndrome;0.5839251149154648
benjolan bawah kulit,demam,nyeri memberat untuk aktivitas setelah istirahat,nyeri sendi,riwayat asam urat tinggi,sendi pangkal ibu jari kaki bengkak dan merah;artritis gout/asam urat;0.5541516403487272
batuk,demam,sakit tenggorokan;faringitis;0.5438937479753807
bersin -bersin,kelelahan;anemia;0.35
demam,gangguan pendengaran,nyeri bagian telinga,riwayat pilek sebelumnya;otitis media akut;0.6281111124078808
kembung,kram perut,sakit perut;konstipasi/sembelit;0.35
demam,kelelahan;varisela / cacar air;0.35
iritasi pada mata,mata berair,mata nyeri,penglihatan berkurang,riwayat kelilipan / trauma pada mata (ketusuk),sensitif terhadap cahaya;keratitis akut;0.6699021546052255
detak jantung tak teratur,lemas,penglihatan kabur,riwayat konsumsi obat antihipertensi,sakit kepala belakang,sesak napas;hipertensi;0.5843286152767139
cairan berbau tidak sedap,cairan selain warna putih,keluarnya cairan dari vagina,rasa gatal di vagina bagian luar,rasa panas di vagina;keputihan abnormal;0.673730245000031
adanya kotoran mata di pagi hari,kelopak mata sering menempel pada pagi hari,mata berair,mata gatal,mata merah,riwayat kontak positif konjungtivitis;konjungtivitis/mata merah;0.6675348580245696
kelelahan,pusing,sesak napas;anemia;0.35
batuk,demam,hidung tersumbat;faringitis;0.40136054421768713
detak jantung tak teratur,kehilangan nafsu makan,kelelahan,kulit pucat,lemas,pusing,sesak napas;anemia;0.6668806640295297
demam,kehilangan nafsu makan,kelelahan,kembung,mual,muntah,nyeri kepala,pusing;hepatitis A;0.6341782226911291
gangguan mengecap di satu sisi,garis keriput dan kening hilang,kelopak mata sisi yang lumpuh tidak tertutup sempurna,kelumpuhan pada salah satu sisi wajah,mata nyeri,rasa tebal pada pipi atau mulut sisi yang lumpuh,riwayat terkena angin di wajah malam hari,sensitif terhadap suara;bells palsy;0.6369618467678446
mual,muntah,sakit kepala;maag;0.35
mata berair,mata gatal;konjungtivitis/mata merah;0.3537101114955787
demam,gangguan pendengaran,keluar cairan selain bening,nyeri bagian telinga,riwayat pilek sebelumnya;otitis media akut;0.6757891749196909
batuk,bintik-bintik pada amandel,demam,napas bau,pembengkakan kelenjar getah bening di leher,sakit kepala,sakit saat menelan,sakit tenggorokan;tonsilitis/amandel;0.6129691358024691
kehilangan nafsu makan,kembung;hepatitis A;0.35
benjolan kecil saluran telinga,demam,keluar cairan bening yang tidak berbau,liang telinga gatal,liang telinga merah dan nyeri,rasa sakit jika daun telinga ditarik,riwayat mengorek telinga terlalu sering;otitis eksterna;0.6613772922039782
demam tinggi di malam hari,diare,kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah,nyeri kepala,nyeri otot,pusing,sembelit;demam tifoid;0.6346067489414416
kehilangan nafsu makan,pusing;hepatitis A;0.35
kehilangan nafsu makan,mual,muntah;hepatitis A;0.35731341767007063
dipengaruhi oleh siklus menstruasi atau makanan tertentu (kopi,mual,muntah,sakit kepala sebagian,sensitif terhadap cahaya,sensitif terhadap suara;migrain;0.5551490570728148
demam,kehilangan nafsu makan,mual,muntah;hepatitis A;0.4763294514348724
demam,gangguan keseimbangan,gangguan pendengaran,keluar cairan berulang kali,keluar cairan selain bening,nyeri bagian telinga;otitis media supuratif kronik;0.6681088647657971
batuk,demam;faringitis;0.40136054421768713
buang air besar lebih dari 2 kali sehari,dehidrasi,demam,feses encer,kehilangan nafsu makan,kram perut,mual,muntah,sakit kepala;diare akut;0.6099019800163687
jarang buang air besar dari intensitas biasanya,kehilangan nafsu makan,kembung,kram perut,mengeden saat buang air besar,sakit perut,tinja keras;konstipasi/sembelit;0.6663189336204829
kehilangan nafsu makan,kelelahan;anemia;0.35
mual,muntah,nyeri otot;maag;0.35
batuk,batuk darah,berkeringat di malam hari,dahak,nyeri dada,penurunan berat badan,sesak napas;tuberkulosis;0.5895123301754583
bersendawa,mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,perih di ulu hati,rasa asam di mulut,riwayat makan tidak teratur/makan pedas/asam,sakit kepala;maag;0.659111443137827
